Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Team,Playing Time
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,MP
Virgil van Dijk,nl NED,DF,33-145,12.0,12,1080.0,12.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,0.3,0.7,1.0,50.0,1.0,0.08,0.08,0.17,0.08,0.17,0.04,0.02,0.06,0.04,0.06,Matches,Liverpool,
Ryan Gravenberch,nl NED,MF,22-198,12.0,12,1079.0,12.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.6,0.6,1.1,1.7,27.0,68.0,18.0,0.0,0.08,0.08,0.0,0.08,0.05,0.09,0.14,0.05,0.14,Matches,Liverpool,
Mohamed Salah,eg EGY,FW,32-168,12.0,12,1053.0,11.7,10.0,6.0,16.0,7.0,3.0,3.0,1.0,0.0,8.4,6.0,3.8,9.8,45.0,47.0,131.0,0.85,0.51,1.37,0.6,1.11,0.72,0.33,1.04,0.51,0.84,Matches,Liverpool,
Ibrahima Konaté,fr FRA,DF,25-189,12.0,11,974.0,10.8,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.8,0.8,0.2,1.0,5.0,35.0,1.0,0.09,0.09,0.18,0.09,0.18,0.08,0.02,0.1,0.08,0.1,Matches,Liverpool,
Trent Alexander-Arnold,eng ENG,DF,26-054,11.0,11,866.0,9.6,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,2.5,2.9,23.0,54.0,25.0,0.0,0.1,0.1,0.0,0.1,0.04,0.26,0.3,0.04,0.3,Matches,Liverpool,
Andrew Robertson,sct SCO,DF,30-264,11.0,10,846.0,9.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,2.0,2.4,18.0,58.0,25.0,0.0,0.0,0.0,0.0,0.0,0.05,0.21,0.25,0.05,0.25,Matches,Liverpool,
Alexis Mac Allister,ar ARG,MF,25-342,12.0,10,806.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.3,0.3,1.1,1.4,11.0,49.0,27.0,0.0,0.0,0.0,0.0,0.0,0.04,0.12,0.16,0.04,0.16,Matches,Liverpool,
Dominik Szoboszlai,hu HUN,MF,24-036,12.0,9,836.0,9.3,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,1.7,1.7,1.4,3.1,26.0,38.0,31.0,0.11,0.11,0.22,0.11,0.22,0.18,0.16,0.34,0.18,0.34,Matches,Liverpool,
Luis Díaz,co COL,FW,27-322,12.0,8,677.0,7.5,5.0,2.0,7.0,5.0,0.0,0.0,0.0,0.0,2.9,2.9,1.5,4.5,34.0,24.0,69.0,0.66,0.27,0.93,0.66,0.93,0.39,0.21,0.6,0.39,0.6,Matches,Liverpool,
Diogo Jota,pt POR,FW,27-362,7.0,7,492.0,5.5,2.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,2.7,2.7,0.8,3.5,13.0,6.0,34.0,0.37,0.37,0.73,0.37,0.73,0.5,0.14,0.64,0.5,0.64,Matches,Liverpool,
Caoimhín Kelleher,ie IRL,GK,26-007,6.0,6,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Liverpool,
Alisson,br BRA,GK,32-059,6.0,6,528.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Liverpool,
Darwin Núñez,uy URU,FW,25-159,9.0,5,516.0,5.7,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,1.7,1.7,0.6,2.2,11.0,12.0,37.0,0.35,0.17,0.52,0.35,0.52,0.29,0.1,0.39,0.29,0.39,Matches,Liverpool,
Curtis Jones,eng ENG,MF,23-305,9.0,5,471.0,5.2,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.3,1.3,0.2,1.5,5.0,28.0,20.0,0.19,0.19,0.38,0.19,0.38,0.25,0.03,0.28,0.25,0.28,Matches,Liverpool,
Cody Gakpo,nl NED,FW,25-207,12.0,4,484.0,5.4,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.8,0.8,1.1,1.9,12.0,17.0,75.0,0.19,0.19,0.37,0.19,0.37,0.15,0.21,0.35,0.15,0.35,Matches,Liverpool,
Kostas Tsimikas,gr GRE,DF,28-202,6.0,2,232.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.5,0.6,5.0,28.0,6.0,0.0,0.0,0.0,0.0,0.0,0.03,0.2,0.23,0.03,0.23,Matches,Liverpool,
Conor Bradley,nir NIR,DF,21-144,7.0,1,236.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.0,0.4,10.0,10.0,15.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.15,0.15,0.15,Matches,Liverpool,
