Player,rating,totalRating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,goalsAssistsSum,accuratePasses,inaccuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,shotsOffTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltyFaced,penaltySave,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,penaltyConversion,setPieceConversion,totalAttemptAssist,totalContest,totalCross,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,scoringFrequency,yellowRedCards,savesCaught,savesParried,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,goalKicks,ballRecovery,id,type,appearances,goalsPrevented,Value,Positions,Height,Main position
Aaron Cresswell,6.05,22.3,0.0,0.0,0.0,0.0,0.0,0.0010901050904941,0.0,42.0,10.0,48.0,24.544944666803033,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,48.0,2.0,86.99166673481932,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0212798889156304,0.0,4.0,1526832.0,overall,6.0,0.0,€900k,"['Left-Back', 'Left Midfield', 'Centre-Back']","1,70 m",Left-Back
Abdoulaye Doucoure,5.67,56.8,4.0,0.0,0.0,0.0,0.0,0.6485397640581236,0.0,608.0,70.0,556.0,118.02218963961832,54.0,292.0,68.0,20.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,26.0,78.17574542180165,18.0,30.0,8.0,23.371636139376825,1496.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,10.0,15.848962069854316,6.0,0.0,0.0,0.0,162.0,16.0,2.0,10.0,96.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,20.0,8.0,2.0,14.0,2.0,0.0,0.0,0.0,20.0,20.0,4.0,56.0,0.0,0.0,0.0,0.0,160.0,154.0,0.0,0.0984496273261839,0.0,26.0,1510738.0,overall,12.0,0.0,€10.00m,"['Central Midfield', 'Defensive Midfield', 'Attacking Midfield']","1,83 m",Central Midfield
Abdul Fatawu Issahaku,5.65,14.2,2.0,0.0,2.0,0.0,2.0,0.0310727137303465,0.0,112.0,44.0,116.0,40.972887885737535,16.0,0.0,50.0,8.0,6.0,0.1507947321987757,10.0,0.0,0.0,0.0,0.0,10.0,2.0,24.0,8.0,0.0,130.0,87.14188164603743,12.0,80.78307336541218,162.0,58.059329478932256,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,102.0,12.0,0.0,0.0,20.0,178.0,0.0,0.0,12.0,50.0,12.0,4.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,68.0,34.0,98.0,4.0,0.0,0.0,0.0,2.0,2.0,6.0,130.5951552940674,0.0,0.0,0.0,0.0,46.0,174.0,0.0,0.0615109823485822,0.0,0.0,1520184.0,overall,18.0,0.0,€13.00m,"['Right Winger', 'Attacking Midfield', 'Left Winger']","1,77 m",Right Winger
Adam Armstrong,7.39,65.5,10.0,0.0,0.0,2.0,0.0,0.5784389553881913,4.0,12.0,48.0,262.0,64.99531031866981,48.0,86.0,64.0,4.0,0.0,61.2986182129492,10.0,0.0,2.0,0.0,0.0,2.0,29.283685389271955,32.0,10.0,0.0,22.0,40.97483165200612,0.0,8.0,24.0,46.25641091542536,682.0,10.44180099356378,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,2.0,0.0,0.0,0.0,0.0,37.55185498921375,0.0,0.0,0.0,14.0,80.0,0.0,0.0,2.0,12.0,2.0,2.0,0.0,0.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,6.0,8.0,64.0,4.0,0.0,0.0,0.0,6.0,10.0,0.0,5.806002776811781,185.54024348587723,0.0,0.0,0.0,78.0,92.0,0.0,4.246024835803331,0.0,4.0,1510350.0,overall,0.0,0.0,€16.00m,"['Centre-Forward', 'Right Winger', 'Left Winger']","1,73 m",Centre-Forward
Adam Smith,6.69,24.0,6.0,0.0,0.0,0.0,0.0,0.0329574593373852,0.0,272.0,72.0,448.0,148.1499598027832,104.0,130.0,0.0,4.0,0.0,76.10567537336026,4.0,10.0,4.0,0.0,0.0,0.0,19.64946980920592,0.0,0.0,0.0,16.0,17.565904271840452,10.0,33.32429590523281,8.0,13.129739959169129,506.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.432764684143489,44.0,0.0,0.0,2.0,10.0,0.0,8.0,6.0,780.0,4.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,2.0,0.0,2.0,34.0,8.0,0.0,0.0,0.0,48.0,12.0,6.0,23.090856564038383,0.0,0.0,0.0,0.0,108.0,154.0,0.0,0.2454012303647891,0.0,34.0,1510799.0,overall,18.0,0.0,€1.00m,"['Right-Back', 'Left-Back', 'Right Midfield']","1,74 m",Right-Back
Adam Wharton,8.0,84.0,12.0,0.0,0.0,0.0,0.0,0.0996759119575968,0.0,490.0,74.0,48.0,22.809430017349,68.0,182.0,112.0,8.0,0.0,8.719372615429208,12.0,4.0,0.0,0.0,0.0,0.0,49.67080357183981,12.0,2.0,0.0,58.0,81.63593987798521,8.0,53.13009153871195,20.0,66.7828380730623,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,14.0,83.35670800708535,10.0,0.0,0.0,6.0,16.0,2.0,62.0,12.0,804.0,20.0,8.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0,6.0,12.0,32.0,4.0,0.0,0.0,0.0,38.0,4.0,10.0,92.14644848823843,0.0,0.0,0.0,0.0,116.0,178.0,0.0,0.2085270579127982,0.0,90.0,1514990.0,overall,6.0,0.0,€30.00m,"['Defensive Midfield', 'Attacking Midfield', 'Central Midfield']","1,82 m",Defensive Midfield
Adama Traore,8.23,38.8,0.0,0.0,6.0,2.0,0.0,4.047152680240563,0.0,212.0,62.0,348.0,72.42426749002735,4.0,312.0,24.0,26.0,42.0,62.93342886108858,0.0,0.0,0.0,0.0,0.0,2.0,21.707868565947077,4.0,12.0,2.0,50.0,30.57434815706749,10.0,40.0,48.0,59.93682761799434,1296.0,3.240413535745734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,2.0,0.0,0.0,0.0,2.0,46.89105650359508,2.0,0.0,0.0,4.0,142.0,8.0,0.0,2.0,206.0,12.0,14.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,28.0,52.0,34.0,8.0,0.0,0.0,0.0,12.0,0.0,8.0,111.24526187694038,766.0,0.0,0.0,0.0,42.0,98.0,0.0,2.6357789159380127,0.0,32.0,1507908.0,overall,4.0,0.0,€9.00m,"['Right Winger', 'Centre-Forward', 'Left Winger']","1,78 m",Right Winger
Alejandro Garnacho,7.0,160.0,14.0,0.0,0.0,4.0,0.0,0.5444693354624872,2.0,12.0,56.0,504.0,89.84349590035731,16.0,266.0,32.0,0.0,12.0,36.16747352572832,12.0,6.0,0.0,0.0,0.0,6.0,18.0,12.0,26.0,2.0,70.0,32.04659907979382,0.0,7.572357442605207,18.0,7.234195921433958,350.0,12.480361913325352,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,40.0,12.0,0.0,0.0,0.0,8.0,47.020926207977666,2.0,0.0,0.0,38.0,190.0,10.0,10.0,0.0,948.0,16.0,6.0,0.0,0.0,2.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,12.0,48.0,6.0,80.0,20.0,0.0,0.0,0.0,16.0,22.0,12.0,106.02928848811791,467.76254664951176,0.0,0.0,0.0,124.0,282.0,0.0,5.991977565812361,0.0,42.0,1507924.0,overall,6.0,0.0,€50.00m,"['Left Winger', 'Right Winger', 'Attacking Midfield']","1,80 m",Left Winger
Alex Iwobi,6.8,115.3,2.0,8.0,8.0,2.0,2.0,4.417960038154565,6.0,584.0,130.0,658.0,153.2951651315908,184.0,320.0,132.0,42.0,30.0,1.600131174871187,34.0,8.0,0.0,0.0,0.0,10.0,8.687759804186308,8.0,24.0,4.0,10.0,37.499683288850974,0.0,18.0,42.0,65.35236177880225,704.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,10.0,2.0,0.0,0.0,2.0,26.0,14.481409387883744,0.0,0.0,0.0,30.0,54.0,6.0,80.0,18.0,650.0,6.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,16.0,76.0,2.0,88.0,0.0,0.0,0.0,0.0,66.0,12.0,20.0,44.0,327.6231516992987,0.0,0.0,0.0,264.0,796.0,0.0,1.171721440017497,0.0,100.0,1507880.0,overall,10.0,0.0,€25.00m,"['Left Winger', 'Right Winger', 'Attacking Midfield']","1,83 m",Left Winger
Alex McCarthy,7.74,3.7,4.0,0.0,0.0,0.0,0.0,0.000958268906633,0.0,4.0,2.0,26.0,134.10477990289164,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,174.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,26.266175561711123,0.0,2.0,0.0,0.0,24.0,0.0,6.0,0.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,8.0,0.0,0.0,0.0,0.0,0.0,4.0,98.0,4.0,0.0,0.0,18.0,24.0,1510396.0,overall,4.0,0.521774107809678,€500k,['Goalkeeper'],"1,93 m",Goalkeeper
