,rating,totalRating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,goalsAssistsSum,accuratePasses,inaccuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,shotsOffTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltyFaced,penaltySave,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,penaltyConversion,setPieceConversion,totalAttemptAssist,totalContest,totalCross,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,scoringFrequency,yellowRedCards,savesCaught,savesParried,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,goalKicks,ballRecovery,id,type,appearances,goalsPrevented
Kai Havertz,7.48,11.3,12,6,0,8,0,2.326666122425623,0,64,4,482,123.10399423597514,52,126,56,10,8,28.335372525614343,20,4,0,0,0,0,29.09530227614586,54,20,2,50,65.11609860257528,36,28.918298589266016,68,45.759685960982786,0,21.39391816209142,0,0,0,0,0,0,4,0,38,0,0,2,0,0,10,46,0,0,0,82,2,10,4,82,18,6,0,0,10,8,12,0,0,0,0,0,0,0,14,0,0,0,0,0,0,14,0,0,14,24,10,210,98,0,0,0,0,8,4,90.25238933175567,280,0,0,0,62,224,2,7.101969286809573,0,12,1509897,overall,4,
Gabriel Martinelli,5.56,114.6,18,2,0,4,0,0.17473419795569978,4,246,28,198,3.3285716233478126,46,100,72,14,24,79.02144056841826,10,0,0,0,0,2,40.27595775377878,18,6,4,26,76.93201795630392,12,32.27647622765437,68,0.2836312146837443,1338,32,0,0,0,0,0,0,0,0,14,2,0,0,2,4,88.1142687775405,6,0,0,2,24,4,12,4,8,6,0,0,0,2,2,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,16,0,0,12,8,30,52,10,0,0,0,8,10,0,47.77428379541206,218.62499321775235,0,0,0,16,322,0,0.8923024646996174,0,14,1509903,overall,20,
Ethan Nwaneri,8.1,32.5,2,0,0,0,0,0.3243457825227126,0,40,0,50,134.51637678106934,18,34,4,2,4,94,0,0,0,0,0,0,40,4,0,0,6,104,0,0,4,64,106,28,0,0,0,0,0,0,0,0,2,0,0,0,0,0,188,0,0,0,0,2,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,6,0,0,0,0,2,0,0,0,138,0,0,0,6,2,0,0.25228205512250884,0,8,1587690,overall,10,
Raheem Sterling,7.28,10.8,4,0,0,0,0,0.18225218830739018,0,20,2,38,94.50516887401066,2,0,32,2,6,86.71669898323381,0,0,0,0,0,0,0,0,0,2,2,17.121535511404034,0,0,12,4,58,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,24,0,4,0,30,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,2,16,0,0,0,0,0,0,0,36,0,0,0,0,2,22,0,0.3184724797239201,0,2,1587692,overall,0,
Jorginho,5.77,2.8,0,0,0,0,0,0.5026573829537184,0,86,12,322,47.3031010149749,32,106,26,2,0,0,0,4,0,0,0,0,0,0,0,0,0,36.660396635257484,0,26,14,75.43892291180993,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,41.323092259347035,0,0,0,6,34,0,6,0,124,2,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,2,0,0,8,4,0,0,0,0,2,2,48,0,0,0,0,56,36,0,0.07483262794350357,0,38,1587686,overall,6,
Mikel Merino,0,88,2,0,0,2,0,0.5765705647978758,0,230,64,228,13.366835571763716,4,116,14,4,2,164,0,6,0,0,0,0,0,10,4,4,22,10.497510487755697,22,101.02818466311699,16,91.93474356016755,214,8.800152856947484,0,0,0,0,0,0,0,0,8,2,0,0,0,2,77.06803336668557,4,0,0,4,10,0,20,2,4,2,8,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,2,0,52,14,0,0,0,4,8,16,40.50210112826669,540,0,0,0,48,198,0,1.8413648856427907,0,26,1622504,overall,8,
Myles Lewis-Skelly,5.47,20.7,2,0,0,0,0,0.0030549300802133385,0,10,0,16,62,8,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,148,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,6,6,0,,0,0,1600156,overall,0,
William Saliba,8.29,177.7,0,0,0,0,0,1.0807077469644546,0,782,24,1592,9.829042250453853,902,52,140,0,0,160,40,4,0,0,0,0,0,0,0,0,12,123.479168195746,30,57.317869825328586,94,92.87921093599492,832,168,0,0,0,0,0,0,0,0,0,0,0,0,0,40,117.01575143596835,48,0,0,2,2,2,18,34,1622,10,14,0,0,2,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,4,0,0,2,0,0,46,12,0,0,0,54,8,32,94.3691653676197,1002,0,0,0,578,294,0,0.8383435676423541,0,64,1509907,overall,0,
Gabriel Magalhães,8.15,99.5,10,2,0,2,0,0.9921357772858119,0,8,34,440,150.3606887353664,420,340,84,4,0,68,4,6,0,0,0,0,0,12,6,0,14,69.46523528507437,0,123.98680099800322,38,13.077459639169902,706,14.404632012871826,0,0,0,0,0,0,2,0,24,0,2,0,0,26,80.79907472749443,56,0,0,0,78,0,22,8,1100,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,4,0,2,6,0,0,0,130,10,0,22,504,0,0,0,102,302,0,2.4878194028018976,10,30,1509867,overall,4,
Jurriën Timber,6.58,162.1,16,0,0,0,0,0.2244001147520091,0,370,64,200,39.26053168127339,2,2,110,14,4,99.17964223478157,10,2,0,0,0,0,6.389904516757859,10,0,0,10,76.55866340995036,8,28,54,27.934330325626583,1320,4,0,0,0,0,0,0,0,0,4,2,0,0,0,2,70.46403842442999,20,0,0,4,102,0,4,6,1116,14,26,0,0,12,2,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,10,28,0,22,20,0,0,0,12,0,4,81.80091157772489,1642,0,0,0,240,330,0,0.1779955350707042,0,48,1509911,overall,10,
David Raya,5.78,141.4,20,0,0,0,0,0.015944776129507947,0,502,116,774,45.63791684017744,384,74,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,58,8,164,8,106.97240145785932,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,13.24601201666853,18,0,0,0,150,0,14,4,1068,0,0,0,0,0,0,0,0,30,4,0,0,26,2,4,0,0,4,18,38,0,0,0,0,0,0,0,0,0,0,0,0,222,2,0,0,0,0,0,12,302,184,0,,68,204,1509895,overall,2,-0.7671557678571894
Neto,8.8,18.2,2,0,0,0,0,0.0033848973125014227,0,60,10,84,17.632474566280393,28,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,20,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,57.39338919940499,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,20,0,0,0,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,6,22,0,,10,6,1510801,overall,0,4.576614390829064
Riccardo Calafiori,7.96,103.8,0,0,0,0,0,0.13787748602591904,0,64,42,364,5.797481234789416,84,146,86,0,4,125.443922344145,4,0,0,0,0,0,1.439300694830127,8,4,0,38,61.01161371763991,6,11.20367412238106,2,90.43149938851862,852,28,0,0,0,0,0,0,0,0,4,0,0,0,0,12,154,24,0,0,0,26,0,6,10,442,6,6,0,0,10,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,4,0,0,2,4,4,36,14,0,0,0,6,12,4,79.77620148257645,766,0,0,0,4,170,0,0.8562687024840052,0,2,1531010,overall,8,
Takehiro Tomiyasu,7.8,7.2,0,0,0,0,0,0.003054005363667417,0,2,0,4,54,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0.1051622466887242,0,0,1622506,overall,0,
Jakub Kiwior,5.38,15.1,0,0,0,0,0,0.013305126371918927,0,60,6,134,78.22578167661801,6,28,6,0,0,76,0,0,0,0,0,0,0,0,0,0,6,22.046922352233686,4,68,16,36,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22,14,0,0,0,38,0,4,2,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,14,2,0,0,0,10,0,2,92,0,0,0,0,40,18,0,,0,0,1600154,overall,8,
Oleksandr Zinchenko,6.57,52.2,10,0,0,0,0,0.15521350840995354,0,38,16,328,51.544259528670196,60,70,8,0,0,66,0,4,0,0,0,0,0,0,0,0,0,0,6,14,2,56.93215247474113,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,2,8,0,0,4,442,0,12,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,14,6,0,0,0,18,0,0,0,0,0,0,0,158,98,0,0.07979135729298206,0,20,1509865,overall,6,
Thomas Partey,8.37,104.5,4,2,0,0,0,0.46882442753477827,2,670,50,660,34.77605100985845,338,556,328,4,4,127.3485128219613,22,2,2,0,0,0,28.48825017020293,8,4,4,22,81.36709161042648,16,10,36,74.35533547936073,708,34.84134289203327,0,0,0,0,0,0,0,0,2,14,0,0,2,30,12.268646503014395,16,0,2,6,138,0,4,34,172,26,34,0,0,18,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,2,0,0,14,4,2,46,8,0,0,0,52,4,22,21.519321937209668,134,0,0,0,526,644,0,1.1302237870764733,0,90,1509909,overall,6,
Jamie Vardy,7.73,59,4,4,2,2,2,0.5529313347077363,6,82,6,196,6.984772360293604,70,18,18,14,4,90,6,0,6,0,0,0,7.499389753767026,0,12,2,6,45.865072038701804,4,108.20487745702408,58,18.887026698677573,1506,31.945305497694918,0,0,0,0,0,0,8,0,20,2,0,0,2,0,8.758739296994563,18,0,0,8,46,0,4,0,342,10,14,0,0,4,14,2,0,0,0,0,0,0,0,14,0,0,0,0,0,0,24,6,0,8,0,0,60,6,0,0,0,0,24,4,144,108,0,0,0,18,116,0,4.052115143187375,0,10,1520176,overall,10,
Odsonne Édouard,7.19,19.2,2,0,0,0,0,0.022072759568825234,0,26,0,28,85.90891992730275,8,24,10,0,0,2.095453801530681,2,0,0,0,0,0,0,4,0,0,0,15.561725372658906,0,43.264954933710655,8,1.6633578194932603,94,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,146,2,0,0,0,22,0,0,0,90,0,10,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,32,8,0,0,0,0,0,0,54,0,0,0,0,12,18,0,0.5780518132884838,0,6,1515040,overall,10,
Wilfred Ndidi,6.63,66.5,18,0,2,2,2,1.4664725699557812,6,222,120,436,73.61008999988934,120,82,58,2,4,46,48,12,6,0,0,0,12.54465273736923,0,6,4,114,72.08304482405464,18,84.78072360616079,126,20.6321797613778,1480,0,0,0,0,0,0,0,0,0,14,0,0,0,0,24,75.5015705563174,42,0,0,12,160,8,52,8,1270,10,44,0,0,22,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,22,0,0,6,6,8,72,0,0,0,0,10,26,14,52.713176688866916,0,0,0,0,284,290,0,2.66553021552574,0,26,1520154,overall,6,
Harry Winks,5.93,4,16,0,0,0,2,0.2756875790533564,2,460,46,1056,49.50589420436894,110,278,38,24,0,34,18,4,0,0,0,2,2,8,2,6,26,51.76970874027645,2,34,22,38.524081536504745,1714,0,0,0,0,0,0,0,0,0,0,6,0,0,0,22,57.1384527749087,22,0,0,4,18,0,16,12,8,8,8,0,0,4,0,0,0,0,0,0,0,0,0,18,4,0,0,0,0,0,16,0,0,20,4,20,32,2,0,0,0,20,4,4,44.28128337260904,0,0,0,0,22,590,0,0.010005678310267135,0,68,1520198,overall,0,
Boubakary Soumaré,6.45,18.5,14,0,0,0,0,0.04305358451142294,0,242,10,254,37.905121676641485,4,18,18,0,0,25.814355723358673,12,0,2,0,0,0,0,0,0,0,28,44.05987110106173,6,39.750820457136,18,40,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,43.36712705635935,2,0,0,0,42,0,8,0,434,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,12,0,10,0,0,0,0,14,0,4,63.52352197422553,0,0,0,0,168,72,0,0.017307890529712835,0,32,1520150,overall,14,
Bobby Decordova-Reid,6.65,60,2,0,0,0,0,0.06121218453246158,0,58,12,60,8.102090508294268,24,14,28,0,0,0,2,0,0,0,0,0,0,2,0,2,6,62,0,28,12,40,416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,34,0,0,0,36,6,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,4,18,2,0,0,0,2,0,2,70.62419302268916,0,0,0,0,56,62,0,0.138790174690422,0,18,1520190,overall,0,
Victor Kristiansen,7.46,2.6,12,0,0,0,0,0.9871115434805677,0,660,150,362,10.665548889502475,218,202,42,22,4,2.500830980416552,0,14,0,0,0,12,47.732733790148046,0,0,0,2,46.96535080370782,6,10.04933432918466,20,88.51069005286197,1786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0.5602510553054927,28,0,0,12,74,4,60,12,1128,8,2,0,0,26,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0,8,22,2,10,0,0,0,124,28,34,90.84655118105763,0,0,0,0,276,252,0,,0,68,1520182,overall,8,
Ricardo Pereira,7.47,2,0,0,0,0,0,0.02971771291011599,0,26,6,96,23.502419646722288,38,22,2,0,0,0,4,0,0,0,0,0,0,0,0,0,8,4,0,0,0,22,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,43.91108555922561,0,0,0,0,4,0,8,2,178,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,2,2,45.0045098747845,0,0,0,0,46,40,0,,0,4,1641161,overall,0,
