,Value,Positions,Height,Main position
Kai Havertz,€75.00m,"['Centre-Forward', 'Attacking Midfield', 'Right Winger']","1,93 m",Centre-Forward
Gabriel Martinelli,€60.00m,"['Left Winger', 'Right Winger']","1,78 m",Left Winger
Ethan Nwaneri,€12.00m,"['Attacking Midfield', 'Centre-Forward', 'Right Winger']","1,76 m",Attacking Midfield
Raheem Sterling,€35.00m,"['Left Winger', 'Right Winger', 'Centre-Forward']","1,70 m",Left Winger
Jorginho,€12.00m,"['Defensive Midfield', 'Central Midfield']","1,78 m",Defensive Midfield
Mikel Merino,€50.00m,"['Central Midfield', 'Defensive Midfield']","1,89 m",Central Midfield
Myles Lewis-Skelly,€5.00m,"['Defensive Midfield', 'Central Midfield', 'Left-Back']","1,78 m",Defensive Midfield
William Saliba,€80.00m,['Centre-Back'],"1,92 m",Centre-Back
Gabriel Magalhaes,€75.00m,['Centre-Back'],"1,90 m",Centre-Back
Jurrien Timber,€38.00m,"['Centre-Back', 'Right-Back', 'Left-Back']","1,79 m",Centre-Back
David Raya,€35.00m,['Goalkeeper'],"1,83 m",Goalkeeper
Neto,€55.00m,"['Right Winger', 'Left Winger', 'Attacking Midfield']","1,73 m",Right Winger
Riccardo Calafiori,€45.00m,"['Left-Back', 'Centre-Back']","1,88 m",Left-Back
Takehiro Tomiyasu,€35.00m,"['Right-Back', 'Centre-Back', 'Left-Back']","1,88 m",Right-Back
Jakub Kiwior,€30.00m,"['Centre-Back', 'Left-Back', 'Defensive Midfield']","1,89 m",Centre-Back
Oleksandr Zinchenko,€35.00m,"['Left-Back', 'Left Midfield', 'Central Midfield']","1,75 m",Left-Back
Thomas Partey,€18.00m,"['Defensive Midfield', 'Central Midfield', 'Right-Back']","1,85 m",Defensive Midfield
Jamie Vardy,€1.00m,['Centre-Forward'],"1,79 m",Centre-Forward
Odsonne Edouard,€18.00m,['Centre-Forward'],"1,87 m",Centre-Forward
Wilfred Ndidi,€16.00m,"['Defensive Midfield', 'Central Midfield', 'Attacking Midfield']","1,83 m",Defensive Midfield
Harry Winks,€12.00m,"['Defensive Midfield', 'Central Midfield']","1,78 m",Defensive Midfield
Boubakary Soumare,€14.00m,"['Defensive Midfield', 'Central Midfield']","1,88 m",Defensive Midfield
Bobby Decordova-Reid,€5.00m,"['Right Winger', 'Central Midfield', 'Attacking Midfield']","1,70 m",Right Winger
Victor Kristiansen,€15.00m,['Left-Back'],"1,81 m",Left-Back
Ricardo Pereira,€8.00m,"['Right-Back', 'Right Midfield', 'Left-Back']","1,75 m",Right-Back
James Justin,€15.00m,"['Right-Back', 'Left-Back']","1,83 m",Right-Back
Caleb Okoli,€12.00m,['Centre-Back'],"1,91 m",Centre-Back
Luke Thomas,€6.00m,"['Left-Back', 'Left Midfield']","1,81 m",Left-Back
Mads Hermansen,€9.00m,['Goalkeeper'],"1,87 m",Goalkeeper
Facundo Buonanotte,€18.00m,"['Attacking Midfield', 'Right Winger', 'Right Midfield']","1,74 m",Attacking Midfield
Hamza Choudhury,€4.50m,"['Defensive Midfield', 'Central Midfield']","1,78 m",Defensive Midfield
Jannik Vestergaard,€3.00m,"['Centre-Back', 'Defensive Midfield']","1,99 m",Centre-Back
Abdul Fatawu Issahaku,€13.00m,"['Right Winger', 'Attacking Midfield', 'Left Winger']","1,77 m",Right Winger
Kasey McAteer,€900k,"['Right Winger', 'Left Winger', 'Attacking Midfield']","1,77 m",Right Winger
Bilal El Khannouss,€30.00m,"['Attacking Midfield', 'Central Midfield', 'Left Winger']","1,80 m",Attacking Midfield
Evan Ferguson,€45.00m,['Centre-Forward'],"1,88 m",Centre-Forward
Danny Welbeck,€5.00m,"['Centre-Forward', 'Left Winger']","1,85 m",Centre-Forward
