,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015
Bukayo Saka,8.04,7.36,5.97,7.67,6.43,6.04,6.25,,,
Neto,9.41,7.31,4.0,7.71,7.09,6.52,8.29,7.84,8.2,8.0
Declan Rice,8.63,7.98,5.95,8.14,6.3,7.03,7.95,7.26,,
Gabriel Magalhães,6.7,7.86,6.0,6.66,5.56,6.68,6.0,7.12,5.89,
Martin Ødegaard,6.95,7.14,8.25,8.36,5.79,6.51,,,,
Thomas Partey,6.68,7.04,6.41,7.13,6.82,6.93,7.55,8.41,5.84,7.08
David Raya,6.69,7.85,7.85,7.25,,,,,,
Riccardo Calafiori,8.45,8.02,,6.04,6.02,5.67,,,,
Kai Havertz,6.43,6.05,6.15,7.61,7.61,8.14,7.1,6.3,5.83,
William Saliba,7.72,6.27,8.07,7.63,6.93,6.6,5.73,,,
Ben White,5.72,5.82,7.56,7.07,6.15,,,,,
Leandro Trossard,6.58,6.57,6.0,7.4,7.65,5.82,,,,
Mikel Merino,6.84,7.9,7.78,8.02,5.7,5.72,6.24,6.59,6.53,
Jurriën Timber,5.69,7.3,,,,,,,,
Gabriel Martinelli,7.75,7.23,7.96,7.57,5.79,8.05,,,5.6,6.68
Gabriel Jesus,6.3,8.32,7.89,8.41,6.49,6.37,6.28,8.14,7.85,
Ethan Nwaneri,7.65,7.01,,,,,,,,
Raheem Sterling,5.68,6.42,6.68,5.78,7.33,8.51,6.08,7.64,5.52,7.99
Takehiro Tomiyasu,5.39,7.68,5.36,6.65,6.19,5.67,,,,
Oleksandr Zinchenko,6.36,6.35,7.22,6.98,6.0,6.17,8.32,8.56,,
Myles Lewis-Skelly,7.64,,,,,,,,,
Jorginho,6.22,7.19,6.22,7.71,5.69,6.33,7.23,8.44,5.74,6.32
Jakub Kiwior,5.96,6.25,7.47,7.99,,,,,,
Mads Hermansen,5.9,,,,,,,,,
Abdul Fatawu Issahaku,7.52,,,,,,,,,
Facundo Buonanotte,7.3,6.98,5.33,,,,,,,
Wilfred Ndidi,7.45,,7.34,6.45,6.3,8.27,6.54,6.47,7.75,
James Justin,6.46,,7.07,6.59,7.69,6.32,,,,
Jamie Vardy,8.2,,6.29,5.76,6.17,6.3,5.78,8.41,6.5,6.1
Harry Winks,8.09,,7.05,7.4,6.03,5.85,7.33,5.8,5.66,
Bilal El Khannouss,7.03,,,,,,,,,
Victor Bernth Kristiansen,7.58,7.64,5.51,,,,,,,
Caleb Okoli,7.22,7.85,5.63,,,,,,,
Jannik Vestergaard,5.92,,,6.47,7.13,5.51,6.72,7.44,6.79,8.04
Wout Faes,7.88,,7.85,6.8,7.84,,,,,
Stephy Mavididi,6.46,,7.65,7.27,7.22,5.34,6.72,,,
Jordan Ayew,6.65,6.46,5.6,8.12,6.67,7.36,5.53,8.02,7.6,6.36
Kasey McAteer,5.5,,,,,,,,,
Patson Daka,7.39,,5.53,6.73,,,,,,
Bobby Reid,6.12,7.46,5.53,,5.99,,7.95,,,
Luke Thomas,7.21,7.02,7.55,5.92,6.39,7.08,,,,
